,Variable,Var_Dataframe,Var_Description
0,CNT_CHILDREN,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Number of children the client has
1,AMT_INCOME_TOTAL,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Income of the client
2,AMT_CREDIT,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Credit amount of the loan
3,AMT_ANNUITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Loan annuity
4,AMT_GOODS_PRICE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,For consumer loans it is the price of the goods for which the loan is given
5,REGION_POPULATION_RELATIVE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Normalized population of region where client lives (higher number means the client lives in more populated region)
6,DAYS_BIRTH,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Client's age in days at the time of application
7,DAYS_EMPLOYED,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many days before the application the person started current employment
8,DAYS_REGISTRATION,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many days before the application did client change his registration
9,DAYS_ID_PUBLISH,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many days before the application did client change the identity document with which he applied for the loan
10,OWN_CAR_AGE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Age of client's car
11,FLAG_MOBIL,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Did client provide mobile phone (1=YES, 0=NO)"
12,FLAG_EMP_PHONE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Did client provide work phone (1=YES, 0=NO)"
13,FLAG_WORK_PHONE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Did client provide home phone (1=YES, 0=NO)"
14,FLAG_CONT_MOBILE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Was mobile phone reachable (1=YES, 0=NO)"
15,FLAG_PHONE,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Did client provide home phone (1=YES, 0=NO)"
16,FLAG_EMAIL,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Did client provide email (1=YES, 0=NO)"
17,CNT_FAM_MEMBERS,This is the main table. Static data for all applications. One row represents one loan in our data sample.,How many family members does client have
18,REGION_RATING_CLIENT,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Our rating of the region where client lives (1,2,3)"
19,REGION_RATING_CLIENT_W_CITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Our rating of the region where client lives with taking city into account (1,2,3)"
20,HOUR_APPR_PROCESS_START,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Approximately at what hour did the client apply for the loan
21,REG_REGION_NOT_LIVE_REGION,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's permanent address does not match contact address (1=different, 0=same, at region level)"
22,REG_REGION_NOT_WORK_REGION,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's permanent address does not match work address (1=different, 0=same, at region level)"
23,LIVE_REGION_NOT_WORK_REGION,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's contact address does not match work address (1=different, 0=same, at region level)"
24,REG_CITY_NOT_LIVE_CITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's permanent address does not match contact address (1=different, 0=same, at city level)"
25,REG_CITY_NOT_WORK_CITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's permanent address does not match work address (1=different, 0=same, at city level)"
26,LIVE_CITY_NOT_WORK_CITY,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Flag if client's contact address does not match work address (1=different, 0=same, at city level)"
27,EXT_SOURCE_1,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Normalized score from external data source
28,EXT_SOURCE_2,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Normalized score from external data source
29,EXT_SOURCE_3,This is the main table. Static data for all applications. One row represents one loan in our data sample.,Normalized score from external data source
30,APARTMENTS_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
31,BASEMENTAREA_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
32,YEARS_BEGINEXPLUATATION_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
33,YEARS_BUILD_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
34,COMMONAREA_AVG,This is the main table. Static data for all applications. One row represents one loan in our data sample.,"Normalized information about building where the client lives, What is average (_AVG suffix), modus (_MODE suffix), median (_MEDI suffix) apartment size, common area, living area, age of building, number of elevators, number of entrances, state of the building, number of floor"
